state,county,seg,conf,date,value,headline
California,California,Retail & recreation,1,2020-02-16,5.235,-50.0
California,California,Retail & recreation,1,2020-02-17,8.644,-50.0
California,California,Retail & recreation,1,2020-02-18,-0.209,-50.0
California,California,Retail & recreation,1,2020-02-19,0.425,-50.0
California,California,Retail & recreation,1,2020-02-20,2.027,-50.0
California,California,Retail & recreation,1,2020-02-21,1.332,-50.0
California,California,Retail & recreation,1,2020-02-22,0.096,-50.0
California,California,Retail & recreation,1,2020-02-23,4.239,-50.0
California,California,Retail & recreation,1,2020-02-24,1.877,-50.0
California,California,Retail & recreation,1,2020-02-25,2.886,-50.0
California,California,Retail & recreation,1,2020-02-26,4.836,-50.0
California,California,Retail & recreation,1,2020-02-27,4.75,-50.0
California,California,Retail & recreation,1,2020-02-28,4.367,-50.0
California,California,Retail & recreation,1,2020-02-29,3.968,-50.0
California,California,Retail & recreation,1,2020-03-01,4.683,-50.0
California,California,Retail & recreation,1,2020-03-02,6.028,-50.0
California,California,Retail & recreation,1,2020-03-03,8.234,-50.0
California,California,Retail & recreation,1,2020-03-04,4.487,-50.0
California,California,Retail & recreation,1,2020-03-05,4.631,-50.0
California,California,Retail & recreation,1,2020-03-06,2.191,-50.0
California,California,Retail & recreation,1,2020-03-07,0.146,-50.0
California,California,Retail & recreation,1,2020-03-08,2.063,-50.0
California,California,Retail & recreation,1,2020-03-09,3.08,-50.0
California,California,Retail & recreation,1,2020-03-10,-0.746,-50.0
California,California,Retail & recreation,1,2020-03-11,2.609,-50.0
California,California,Retail & recreation,1,2020-03-12,-3.19,-50.0
California,California,Retail & recreation,1,2020-03-13,-2.9610000000000003,-50.0
California,California,Retail & recreation,1,2020-03-14,-13.468,-50.0
California,California,Retail & recreation,1,2020-03-15,-16.03,-50.0
California,California,Retail & recreation,1,2020-03-16,-11.632,-50.0
California,California,Retail & recreation,1,2020-03-17,-23.172,-50.0
California,California,Retail & recreation,1,2020-03-18,-29.039,-50.0
California,California,Retail & recreation,1,2020-03-19,-31.678,-50.0
California,California,Retail & recreation,1,2020-03-20,-39.597,-50.0
California,California,Retail & recreation,1,2020-03-21,-47.57100000000001,-50.0
California,California,Retail & recreation,1,2020-03-22,-49.652,-50.0
California,California,Retail & recreation,1,2020-03-23,-41.14,-50.0
California,California,Retail & recreation,1,2020-03-24,-41.842,-50.0
California,California,Retail & recreation,1,2020-03-25,-42.437,-50.0
California,California,Retail & recreation,1,2020-03-26,-42.127,-50.0
California,California,Retail & recreation,1,2020-03-27,-43.948,-50.0
California,California,Retail & recreation,1,2020-03-28,-49.679,-50.0
California,California,Retail & recreation,1,2020-03-29,-49.539,-50.0
California,California,Grocery & pharmacy,1,2020-02-16,0.431,-24.0
California,California,Grocery & pharmacy,1,2020-02-17,0.736,-24.0
California,California,Grocery & pharmacy,1,2020-02-18,0.339,-24.0
California,California,Grocery & pharmacy,1,2020-02-19,-0.275,-24.0
California,California,Grocery & pharmacy,1,2020-02-20,0.522,-24.0
California,California,Grocery & pharmacy,1,2020-02-21,-0.377,-24.0
California,California,Grocery & pharmacy,1,2020-02-22,-0.378,-24.0
California,California,Grocery & pharmacy,1,2020-02-23,0.892,-24.0
California,California,Grocery & pharmacy,1,2020-02-24,-0.151,-24.0
California,California,Grocery & pharmacy,1,2020-02-25,1.4480000000000002,-24.0
California,California,Grocery & pharmacy,1,2020-02-26,2.891,-24.0
California,California,Grocery & pharmacy,1,2020-02-27,2.857,-24.0
California,California,Grocery & pharmacy,1,2020-02-28,4.092,-24.0
California,California,Grocery & pharmacy,1,2020-02-29,4.39,-24.0
California,California,Grocery & pharmacy,1,2020-03-01,3.2230000000000003,-24.0
California,California,Grocery & pharmacy,1,2020-03-02,5.827000000000001,-24.0
California,California,Grocery & pharmacy,1,2020-03-03,9.293,-24.0
California,California,Grocery & pharmacy,1,2020-03-04,6.4670000000000005,-24.0
California,California,Grocery & pharmacy,1,2020-03-05,6.896,-24.0
California,California,Grocery & pharmacy,1,2020-03-06,5.263,-24.0
California,California,Grocery & pharmacy,1,2020-03-07,4.338,-24.0
California,California,Grocery & pharmacy,1,2020-03-08,3.103,-24.0
California,California,Grocery & pharmacy,1,2020-03-09,6.335,-24.0
California,California,Grocery & pharmacy,1,2020-03-10,4.398,-24.0
California,California,Grocery & pharmacy,1,2020-03-11,9.108,-24.0
California,California,Grocery & pharmacy,1,2020-03-12,13.102,-24.0
California,California,Grocery & pharmacy,1,2020-03-13,30.95,-24.0
California,California,Grocery & pharmacy,1,2020-03-14,22.891,-24.0
California,California,Grocery & pharmacy,1,2020-03-15,11.097,-24.0
California,California,Grocery & pharmacy,1,2020-03-16,21.322,-24.0
California,California,Grocery & pharmacy,1,2020-03-17,10.913,-24.0
California,California,Grocery & pharmacy,1,2020-03-18,4.216,-24.0
California,California,Grocery & pharmacy,1,2020-03-19,3.313,-24.0
California,California,Grocery & pharmacy,1,2020-03-20,-3.503,-24.0
California,California,Grocery & pharmacy,1,2020-03-21,-12.837,-24.0
California,California,Grocery & pharmacy,1,2020-03-22,-22.274,-24.0
California,California,Grocery & pharmacy,1,2020-03-23,-17.927,-24.0
California,California,Grocery & pharmacy,1,2020-03-24,-17.717,-24.0
California,California,Grocery & pharmacy,1,2020-03-25,-18.58,-24.0
California,California,Grocery & pharmacy,1,2020-03-26,-17.555999999999994,-24.0
California,California,Grocery & pharmacy,1,2020-03-27,-17.335,-24.0
California,California,Grocery & pharmacy,1,2020-03-28,-20.404,-24.0
California,California,Grocery & pharmacy,1,2020-03-29,-24.321,-24.0
California,California,Parks,1,2020-02-16,30.534,-38.0
California,California,Parks,1,2020-02-17,44.214,-38.0
California,California,Parks,1,2020-02-18,15.686,-38.0
California,California,Parks,1,2020-02-19,12.868,-38.0
California,California,Parks,1,2020-02-20,12.12,-38.0
California,California,Parks,1,2020-02-21,8.411,-38.0
California,California,Parks,1,2020-02-22,-2.555,-38.0
California,California,Parks,1,2020-02-23,15.65,-38.0
California,California,Parks,1,2020-02-24,11.738,-38.0
California,California,Parks,1,2020-02-25,19.686,-38.0
California,California,Parks,1,2020-02-26,15.711,-38.0
California,California,Parks,1,2020-02-27,14.056,-38.0
California,California,Parks,1,2020-02-28,10.445,-38.0
California,California,Parks,1,2020-02-29,15.048,-38.0
California,California,Parks,1,2020-03-01,-4.047,-38.0
California,California,Parks,1,2020-03-02,8.261000000000001,-38.0
California,California,Parks,1,2020-03-03,29.778,-38.0
California,California,Parks,1,2020-03-04,15.212,-38.0
California,California,Parks,1,2020-03-05,10.996,-38.0
California,California,Parks,1,2020-03-06,7.308,-38.0
California,California,Parks,1,2020-03-07,0.329,-38.0
California,California,Parks,1,2020-03-08,11.071,-38.0
California,California,Parks,1,2020-03-09,12.390999999999998,-38.0
California,California,Parks,1,2020-03-10,-9.666,-38.0
California,California,Parks,1,2020-03-11,12.237,-38.0
California,California,Parks,1,2020-03-12,-14.767,-38.0
California,California,Parks,1,2020-03-13,-20.408,-38.0
California,California,Parks,1,2020-03-14,-37.43,-38.0
California,California,Parks,1,2020-03-15,-24.609,-38.0
California,California,Parks,1,2020-03-16,-27.226,-38.0
California,California,Parks,1,2020-03-17,-11.876,-38.0
California,California,Parks,1,2020-03-18,-19.677,-38.0
California,California,Parks,1,2020-03-19,-19.617,-38.0
California,California,Parks,1,2020-03-20,-22.111,-38.0
California,California,Parks,1,2020-03-21,-21.916,-38.0
California,California,Parks,1,2020-03-22,-23.781,-38.0
California,California,Parks,1,2020-03-23,-27.809,-38.0
California,California,Parks,1,2020-03-24,-31.076,-38.0
California,California,Parks,1,2020-03-25,-29.732,-38.0
California,California,Parks,1,2020-03-26,-28.446,-38.0
California,California,Parks,1,2020-03-27,-29.268,-38.0
California,California,Parks,1,2020-03-28,-47.694,-38.0
California,California,Parks,1,2020-03-29,-38.48,-38.0
California,California,Transit stations,1,2020-02-16,1.4069999999999998,-54.0
California,California,Transit stations,1,2020-02-17,-12.087,-54.0
California,California,Transit stations,1,2020-02-18,2.747,-54.0
California,California,Transit stations,1,2020-02-19,0.8440000000000001,-54.0
California,California,Transit stations,1,2020-02-20,1.252,-54.0
California,California,Transit stations,1,2020-02-21,-0.198,-54.0
California,California,Transit stations,1,2020-02-22,-3.934,-54.0
California,California,Transit stations,1,2020-02-23,2.701,-54.0
California,California,Transit stations,1,2020-02-24,1.414,-54.0
California,California,Transit stations,1,2020-02-25,3.12,-54.0
California,California,Transit stations,1,2020-02-26,2.752,-54.0
California,California,Transit stations,1,2020-02-27,3.406,-54.0
California,California,Transit stations,1,2020-02-28,2.415,-54.0
California,California,Transit stations,1,2020-02-29,0.64,-54.0
California,California,Transit stations,1,2020-03-01,-0.752,-54.0
California,California,Transit stations,1,2020-03-02,-0.025,-54.0
California,California,Transit stations,1,2020-03-03,1.79,-54.0
California,California,Transit stations,1,2020-03-04,-1.041,-54.0
California,California,Transit stations,1,2020-03-05,-1.352,-54.0
California,California,Transit stations,1,2020-03-06,-3.694,-54.0
California,California,Transit stations,1,2020-03-07,-5.9289999999999985,-54.0
California,California,Transit stations,1,2020-03-08,-4.147,-54.0
California,California,Transit stations,1,2020-03-09,-6.752999999999999,-54.0
California,California,Transit stations,1,2020-03-10,-12.775,-54.0
California,California,Transit stations,1,2020-03-11,-9.917,-54.0
California,California,Transit stations,1,2020-03-12,-18.236,-54.0
California,California,Transit stations,1,2020-03-13,-21.337,-54.0
California,California,Transit stations,1,2020-03-14,-23.582,-54.0
California,California,Transit stations,1,2020-03-15,-22.519,-54.0
California,California,Transit stations,1,2020-03-16,-30.684,-54.0
California,California,Transit stations,1,2020-03-17,-34.28,-54.0
California,California,Transit stations,1,2020-03-18,-38.926,-54.0
California,California,Transit stations,1,2020-03-19,-42.83600000000001,-54.0
California,California,Transit stations,1,2020-03-20,-46.42,-54.0
California,California,Transit stations,1,2020-03-21,-46.547,-54.0
California,California,Transit stations,1,2020-03-22,-51.849,-54.0
California,California,Transit stations,1,2020-03-23,-52.36600000000001,-54.0
California,California,Transit stations,1,2020-03-24,-52.146,-54.0
California,California,Transit stations,1,2020-03-25,-52.45,-54.0
California,California,Transit stations,1,2020-03-26,-53.197,-54.0
California,California,Transit stations,1,2020-03-27,-53.661,-54.0
California,California,Transit stations,1,2020-03-28,-53.289,-54.0
California,California,Transit stations,1,2020-03-29,-54.44600000000001,-54.0
California,California,Workplaces,1,2020-02-16,-0.507,-39.0
California,California,Workplaces,1,2020-02-17,-38.479,-39.0
California,California,Workplaces,1,2020-02-18,0.044,-39.0
California,California,Workplaces,1,2020-02-19,0.044,-39.0
California,California,Workplaces,1,2020-02-20,-0.161,-39.0
California,California,Workplaces,1,2020-02-21,0.908,-39.0
California,California,Workplaces,1,2020-02-22,0.977,-39.0
California,California,Workplaces,1,2020-02-23,1.607,-39.0
California,California,Workplaces,1,2020-02-24,3.969,-39.0
California,California,Workplaces,1,2020-02-25,3.094,-39.0
California,California,Workplaces,1,2020-02-26,2.321,-39.0
California,California,Workplaces,1,2020-02-27,2.048,-39.0
California,California,Workplaces,1,2020-02-28,3.194,-39.0
California,California,Workplaces,1,2020-02-29,2.379,-39.0
California,California,Workplaces,1,2020-03-01,1.355,-39.0
California,California,Workplaces,1,2020-03-02,3.752,-39.0
California,California,Workplaces,1,2020-03-03,2.681,-39.0
California,California,Workplaces,1,2020-03-04,1.945,-39.0
California,California,Workplaces,1,2020-03-05,1.54,-39.0
California,California,Workplaces,1,2020-03-06,1.6130000000000002,-39.0
California,California,Workplaces,1,2020-03-07,1.535,-39.0
California,California,Workplaces,1,2020-03-08,0.757,-39.0
California,California,Workplaces,1,2020-03-09,0.703,-39.0
California,California,Workplaces,1,2020-03-10,-2.94,-39.0
California,California,Workplaces,1,2020-03-11,-2.701,-39.0
California,California,Workplaces,1,2020-03-12,-5.8,-39.0
California,California,Workplaces,1,2020-03-13,-7.653,-39.0
California,California,Workplaces,1,2020-03-14,-5.649,-39.0
California,California,Workplaces,1,2020-03-15,-8.197000000000001,-39.0
California,California,Workplaces,1,2020-03-16,-24.068,-39.0
California,California,Workplaces,1,2020-03-17,-32.92,-39.0
California,California,Workplaces,1,2020-03-18,-37.809,-39.0
California,California,Workplaces,1,2020-03-19,-40.344,-39.0
California,California,Workplaces,1,2020-03-20,-43.94600000000001,-39.0
California,California,Workplaces,1,2020-03-21,-32.715,-39.0
California,California,Workplaces,1,2020-03-22,-36.24,-39.0
California,California,Workplaces,1,2020-03-23,-48.577,-39.0
California,California,Workplaces,1,2020-03-24,-50.287,-39.0
California,California,Workplaces,1,2020-03-25,-50.854,-39.0
California,California,Workplaces,1,2020-03-26,-51.312,-39.0
California,California,Workplaces,1,2020-03-27,-49.81,-39.0
California,California,Workplaces,1,2020-03-28,-37.225,-39.0
California,California,Workplaces,1,2020-03-29,-39.431,-39.0
California,California,Residential,1,2020-02-16,-1.204,15.0
California,California,Residential,1,2020-02-17,7.862,15.0
California,California,Residential,1,2020-02-18,-0.158,15.0
California,California,Residential,1,2020-02-19,0.092,15.0
California,California,Residential,1,2020-02-20,-0.11,15.0
California,California,Residential,1,2020-02-21,-0.055,15.0
California,California,Residential,1,2020-02-22,0.748,15.0
California,California,Residential,1,2020-02-23,-0.422,15.0
California,California,Residential,1,2020-02-24,-0.301,15.0
California,California,Residential,1,2020-02-25,-0.8340000000000001,15.0
California,California,Residential,1,2020-02-26,-0.984,15.0
California,California,Residential,1,2020-02-27,-0.7390000000000001,15.0
California,California,Residential,1,2020-02-28,-1.087,15.0
California,California,Residential,1,2020-02-29,-0.923,15.0
California,California,Residential,1,2020-03-01,-0.097,15.0
California,California,Residential,1,2020-03-02,-0.5,15.0
California,California,Residential,1,2020-03-03,-1.349,15.0
California,California,Residential,1,2020-03-04,-0.385,15.0
California,California,Residential,1,2020-03-05,-0.34,15.0
California,California,Residential,1,2020-03-06,0.09,15.0
California,California,Residential,1,2020-03-07,0.743,15.0
California,California,Residential,1,2020-03-08,0.483,15.0
California,California,Residential,1,2020-03-09,0.782,15.0
California,California,Residential,1,2020-03-10,2.68,15.0
California,California,Residential,1,2020-03-11,1.709,15.0
California,California,Residential,1,2020-03-12,3.927,15.0
California,California,Residential,1,2020-03-13,4.718,15.0
California,California,Residential,1,2020-03-14,6.226,15.0
California,California,Residential,1,2020-03-15,5.9529999999999985,15.0
California,California,Residential,1,2020-03-16,10.513,15.0
California,California,Residential,1,2020-03-17,14.07,15.0
California,California,Residential,1,2020-03-18,16.522000000000002,15.0
California,California,Residential,1,2020-03-19,18.045,15.0
California,California,Residential,1,2020-03-20,21.101,15.0
California,California,Residential,1,2020-03-21,15.929,15.0
California,California,Residential,1,2020-03-22,14.135,15.0
California,California,Residential,1,2020-03-23,21.129,15.0
California,California,Residential,1,2020-03-24,21.999,15.0
California,California,Residential,1,2020-03-25,22.458,15.0
California,California,Residential,1,2020-03-26,22.941,15.0
California,California,Residential,1,2020-03-27,23.665,15.0
California,California,Residential,1,2020-03-28,17.660999999999994,15.0
California,California,Residential,1,2020-03-29,15.193,15.0
Alabama,Alabama,Retail & recreation,1,2020-02-16,-0.269,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-17,3.45,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-18,-3.939,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-19,3.666,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-20,-6.636,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-21,3.161,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-22,5.169,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-23,3.352,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-24,-1.976,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-25,6.97,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-26,15.595999999999998,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-27,11.775,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-28,12.322,-41.0
Alabama,Alabama,Retail & recreation,1,2020-02-29,14.593,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-01,16.302,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-02,8.135,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-03,20.238,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-04,6.702000000000001,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-05,6.81,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-06,9.236,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-07,11.945,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-08,11.963,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-09,9.986,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-10,8.515,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-11,10.217,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-12,10.305,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-13,6.65,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-14,0.87,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-15,-7.184,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-16,-2.193,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-17,-10.87,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-18,-13.146,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-19,-20.216,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-20,-27.172,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-21,-35.147,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-22,-39.764,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-23,-32.779,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-24,-31.688,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-25,-27.529,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-26,-30.249,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-27,-30.481,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-28,-36.214,-41.0
Alabama,Alabama,Retail & recreation,1,2020-03-29,-40.735,-41.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-16,-2.178,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-17,-0.26,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-18,-3.248,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-19,1.105,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-20,-5.667000000000002,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-21,-0.152,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-22,3.715,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-23,2.097,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-24,-2.678,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-25,2.7910000000000004,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-26,4.905,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-27,5.66,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-28,6.115,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-29,9.708,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-01,9.812,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-02,4.4460000000000015,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-03,14.586,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-04,0.14400000000000002,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-05,6.198,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-06,4.0760000000000005,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-07,7.845,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-08,7.9060000000000015,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-09,8.391,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-10,7.886,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-11,7.91,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-12,21.577,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-13,31.831,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-14,27.744,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-15,16.391,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-16,24.227,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-17,17.349,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-18,13.443,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-19,15.407,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-20,10.094,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-21,5.207000000000002,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-22,-7.345,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-23,-5.724,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-24,-5.035,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-25,-4.39,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-26,-3.419,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-27,-1.741,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-28,-2.364,-13.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-29,-13.446,-13.0
Alabama,Alabama,Parks,1,2020-02-16,-6.813,19.0
Alabama,Alabama,Parks,1,2020-02-17,17.153,19.0
Alabama,Alabama,Parks,1,2020-02-18,-11.001,19.0
Alabama,Alabama,Parks,1,2020-02-19,6.432,19.0
Alabama,Alabama,Parks,1,2020-02-20,-25.421,19.0
Alabama,Alabama,Parks,1,2020-02-21,11.657,19.0
Alabama,Alabama,Parks,1,2020-02-22,46.037,19.0
Alabama,Alabama,Parks,1,2020-02-23,23.941,19.0
Alabama,Alabama,Parks,1,2020-02-24,-13.253,19.0
Alabama,Alabama,Parks,1,2020-02-25,26.999,19.0
Alabama,Alabama,Parks,1,2020-02-26,6.682,19.0
Alabama,Alabama,Parks,1,2020-02-27,13.805,19.0
Alabama,Alabama,Parks,1,2020-02-28,20.402,19.0
Alabama,Alabama,Parks,1,2020-02-29,54.627,19.0
Alabama,Alabama,Parks,1,2020-03-01,52.777,19.0
Alabama,Alabama,Parks,1,2020-03-02,-1.952,19.0
Alabama,Alabama,Parks,1,2020-03-03,32.999,19.0
Alabama,Alabama,Parks,1,2020-03-04,-8.022,19.0
Alabama,Alabama,Parks,1,2020-03-05,-0.293,19.0
Alabama,Alabama,Parks,1,2020-03-06,29.215,19.0
Alabama,Alabama,Parks,1,2020-03-07,62.613,19.0
Alabama,Alabama,Parks,1,2020-03-08,54.563,19.0
Alabama,Alabama,Parks,1,2020-03-09,44.633,19.0
Alabama,Alabama,Parks,1,2020-03-10,20.692,19.0
Alabama,Alabama,Parks,1,2020-03-11,26.983,19.0
Alabama,Alabama,Parks,1,2020-03-12,42.658,19.0
Alabama,Alabama,Parks,1,2020-03-13,26.161,19.0
Alabama,Alabama,Parks,1,2020-03-14,54.687,19.0
Alabama,Alabama,Parks,1,2020-03-15,16.203,19.0
Alabama,Alabama,Parks,1,2020-03-16,21.544,19.0
Alabama,Alabama,Parks,1,2020-03-17,24.922,19.0
Alabama,Alabama,Parks,1,2020-03-18,38.846,19.0
Alabama,Alabama,Parks,1,2020-03-19,26.588,19.0
Alabama,Alabama,Parks,1,2020-03-20,7.285,19.0
Alabama,Alabama,Parks,1,2020-03-21,10.162,19.0
Alabama,Alabama,Parks,1,2020-03-22,2.314,19.0
Alabama,Alabama,Parks,1,2020-03-23,-11.139,19.0
Alabama,Alabama,Parks,1,2020-03-24,3.614,19.0
Alabama,Alabama,Parks,1,2020-03-25,35.588,19.0
Alabama,Alabama,Parks,1,2020-03-26,31.555,19.0
Alabama,Alabama,Parks,1,2020-03-27,29.562,19.0
Alabama,Alabama,Parks,1,2020-03-28,22.443,19.0
Alabama,Alabama,Parks,1,2020-03-29,19.047,19.0
Alabama,Alabama,Transit stations,1,2020-02-16,2.798,-30.0
Alabama,Alabama,Transit stations,1,2020-02-17,6.835,-30.0
Alabama,Alabama,Transit stations,1,2020-02-18,-1.192,-30.0
Alabama,Alabama,Transit stations,1,2020-02-19,4.212,-30.0
Alabama,Alabama,Transit stations,1,2020-02-20,-0.853,-30.0
Alabama,Alabama,Transit stations,1,2020-02-21,8.982000000000003,-30.0
Alabama,Alabama,Transit stations,1,2020-02-22,13.146,-30.0
Alabama,Alabama,Transit stations,1,2020-02-23,16.107,-30.0
Alabama,Alabama,Transit stations,1,2020-02-24,1.722,-30.0
Alabama,Alabama,Transit stations,1,2020-02-25,7.447999999999999,-30.0
Alabama,Alabama,Transit stations,1,2020-02-26,11.05,-30.0
Alabama,Alabama,Transit stations,1,2020-02-27,8.854,-30.0
Alabama,Alabama,Transit stations,1,2020-02-28,10.004,-30.0
Alabama,Alabama,Transit stations,1,2020-02-29,20.149,-30.0
Alabama,Alabama,Transit stations,1,2020-03-01,20.771,-30.0
Alabama,Alabama,Transit stations,1,2020-03-02,4.759,-30.0
Alabama,Alabama,Transit stations,1,2020-03-03,5.064,-30.0
Alabama,Alabama,Transit stations,1,2020-03-04,1.536,-30.0
Alabama,Alabama,Transit stations,1,2020-03-05,3.5980000000000003,-30.0
Alabama,Alabama,Transit stations,1,2020-03-06,9.826,-30.0
Alabama,Alabama,Transit stations,1,2020-03-07,17.852999999999994,-30.0
Alabama,Alabama,Transit stations,1,2020-03-08,20.149,-30.0
Alabama,Alabama,Transit stations,1,2020-03-09,9.265,-30.0
Alabama,Alabama,Transit stations,1,2020-03-10,4.32,-30.0
Alabama,Alabama,Transit stations,1,2020-03-11,6.789,-30.0
Alabama,Alabama,Transit stations,1,2020-03-12,7.812,-30.0
Alabama,Alabama,Transit stations,1,2020-03-13,7.114,-30.0
Alabama,Alabama,Transit stations,1,2020-03-14,12.227,-30.0
Alabama,Alabama,Transit stations,1,2020-03-15,5.908,-30.0
Alabama,Alabama,Transit stations,1,2020-03-16,1.722,-30.0
Alabama,Alabama,Transit stations,1,2020-03-17,-1.341,-30.0
Alabama,Alabama,Transit stations,1,2020-03-18,-2.7260000000000004,-30.0
Alabama,Alabama,Transit stations,1,2020-03-19,-7.529,-30.0
Alabama,Alabama,Transit stations,1,2020-03-20,-13.784,-30.0
Alabama,Alabama,Transit stations,1,2020-03-21,-13.146,-30.0
Alabama,Alabama,Transit stations,1,2020-03-22,-21.828000000000007,-30.0
Alabama,Alabama,Transit stations,1,2020-03-23,-21.671,-30.0
Alabama,Alabama,Transit stations,1,2020-03-24,-18.074,-30.0
Alabama,Alabama,Transit stations,1,2020-03-25,-15.213,-30.0
Alabama,Alabama,Transit stations,1,2020-03-26,-19.271,-30.0
Alabama,Alabama,Transit stations,1,2020-03-27,-24.011,-30.0
Alabama,Alabama,Transit stations,1,2020-03-28,-24.569000000000006,-30.0
Alabama,Alabama,Transit stations,1,2020-03-29,-30.1,-30.0
Alabama,Alabama,Workplaces,1,2020-02-16,-1.425,-32.0
Alabama,Alabama,Workplaces,1,2020-02-17,-16.747,-32.0
Alabama,Alabama,Workplaces,1,2020-02-18,0.846,-32.0
Alabama,Alabama,Workplaces,1,2020-02-19,1.131,-32.0
Alabama,Alabama,Workplaces,1,2020-02-20,-0.446,-32.0
Alabama,Alabama,Workplaces,1,2020-02-21,1.218,-32.0
Alabama,Alabama,Workplaces,1,2020-02-22,5.818,-32.0
Alabama,Alabama,Workplaces,1,2020-02-23,1.711,-32.0
